ID,COD_MUNICIPIO,NOME,NOME_RESPONSAVEL,data_nasc,Tipo_erro
26774,2702306,GILVANIA BERNARDO DOS SANTOS,"",24/10/1936,tipo 1
26778,2702306,GIRLENE DA SILVA SANTOS,"",03/09/1939,tipo 1
26803,2702306,JANAINA DE LIMA SANTOS,"",11/01/1981,tipo 1
26839,2702306,JOSIELMA SILVA SOUZA,"",18/01/1963,tipo 1
26910,2702306,MARIA ELIANA DA SILVA,"",25/06/1979,tipo 1
26988,2702306,NEOSVANIA DE CASTRO SOUZA,"",24/05/2002,tipo 1
27034,2702306,TAMARA DA SILVA SANTOS,"",14/04/1936,tipo 1
27122,2702355,ELISANGELA PEREIRA GONCALVES,"",11/04/1955,tipo 1
27143,2702355,JADILMA BARBOSA DA SILVA,"",16/04/1970,tipo 1
27146,2702355,JAMES TEIXEIRA RIBEIRO,"",22/03/1950,tipo 1
27155,2702355,JOSE ADILSON DA FONSECA BARBOSA,"",10/01/1938,tipo 1
27169,2702355,JOSEFA NOEMIA DE FARIAS,"",01/08/1946,tipo 1
27219,2702355,MARIA DAMIANA GONZAGA DA ROCHA,"",12/06/1939,tipo 1
27223,2702355,MARIA DAS NEVES DE FREITAS,"",28/03/1952,tipo 1
27271,2702355,RAQUEL RODRIGUES DA SILVA,"",13/11/1962,tipo 1
27354,2702405,ANGELA MARIA DOS SANTOS,"",07/07/1965,tipo 1
27372,2702405,CLAUDIA DOS SANTOS DE ANDRADE DA SILVA,"",20/09/1933,tipo 1
27379,2702405,CLEIA DOS SANTOS SILVA,"",21/08/1932,tipo 1
27415,2702405,ELAINE BANDEIRA SANTOS,"",21/02/1967,tipo 1
27444,2702405,GERALDO VENANCIO,"",21/04/1957,tipo 1
27450,2702405,GISLANE BEZERRA DA SILVA,"",18/11/1957,tipo 1
27513,2702405,JOSE ROBERTO PEREIRA DE ANDRADE,"",06/05/1995,tipo 1
27633,2702405,MARIA SONIA DA CONCEICAO GOMES,"",16/06/1970,tipo 1
27663,2702405,NAELSON DA COSTA GOMES,"",08/07/1926,tipo 1
27750,2702405,WISLLA DE ARAUJO SILVA,"",19/04/1950,tipo 1
27757,2702504,ADRIANA SALVINO DA SILVA BEZERRA,"",28/07/1924,tipo 1
27775,2702504,DIEGO DA SILVA MELO,"",04/05/1998,tipo 1
27823,2702504,LUCELIA DOS SANTOS,"",31/08/1962,tipo 1
27843,2702504,MARIA JOSE DA SILVA,"",02/09/2005,tipo 1
27864,2702504,ROSANA ALVES MARTINS BARBOSA,"",02/03/2021,tipo 1
27876,2702504,VANDERLAN OLIVEIRA DA GRACA,"",23/09/1987,tipo 1
27884,2702553,ALEXSANDRA MARIA DA CONCEICAO,"",15/09/1961,tipo 1
27912,2702553,ELITANIA BARBOSA DOS SANTOS,"",02/03/2016,tipo 1
27995,2702553,MARIA MARTA DA SILVA DANTAS,"",14/12/1974,tipo 1
28000,2702553,MARIA ZILMA DA SILVA,"",11/10/1979,tipo 1
28009,2702553,PATRICIA DA SILVA GAMA,"",11/03/1947,tipo 1
28025,2702553,SILVIA ROCHA DA SILVA,"",07/11/2006,tipo 1
28034,2702603,ADRIANA MARIA BARBOSA,"",15/10/1953,tipo 1
28072,2702603,DENAURA BEZERRA,"",08/07/1984,tipo 1
28126,2702603,JOSE BISPO DOS SANTOS NETO,"",09/07/1930,tipo 1
28134,2702603,JOSEFA DOS SANTOS,"",15/06/1928,tipo 1
28200,2702603,MARIA JANE SANTANA DA SILVA,"",02/05/1997,tipo 1
28247,2702603,RAQUEL DE ALMEIDA LEANDRO,"",04/10/1939,tipo 1
28331,2702702,RAISSA SANTOS MELO,"",05/05/1943,tipo 1
28420,2702801,MARIA YARA GOMES FERREIRA,"",13/10/1988,tipo 1
28460,2702900,ANA ROSA DOS SANTOS SILVA NETO,"",13/02/1960,tipo 1
28484,2702900,CLEIDE VITORINO DA SILVA,"",17/12/1947,tipo 1
28502,2702900,EDIENE PINHEIRO SANTOS DE SOUSA,"",28/05/1969,tipo 1
28504,2702900,EDILENE PINHEIRO DA SILVA,"",10/03/1950,tipo 1
28511,2702900,ELIANE MOREIRA DOS SANTOS,"",16/07/1978,tipo 1
28517,2702900,ELISANGELA DOS SANTOS COSTA,"",08/07/2022,tipo 1
28539,2702900,GISELIA ROSA DE LIMA,"",12/11/1996,tipo 1
28570,2702900,JOSE GIVALDO DOS SANTOS,"",10/07/1955,tipo 1
28643,2702900,MARIA APARECIDA DOS SANTOS,"",18/05/1939,tipo 1
28667,2702900,MARIA JOSE DA SILVA,"",03/02/2008,tipo 1
28723,2702900,PAULA DANIELLY DA SILVA OLIVEIRA,"",22/05/1980,tipo 1
28728,2702900,RAFAELA FARIAS DOS SANTOS,"",14/12/1962,tipo 1
28772,2702900,TAMARA SUELLEM SILVA BISPO,"",15/11/1994,tipo 1
28845,2703007,EDVANE FRANCISCA DA SILVA,"",07/01/1984,tipo 1
28892,2703007,LUCINEIDE VENTURA DA COSTA,"",26/02/1980,tipo 1
28916,2703007,QUITERIA MARIA DA CONCEICAO SILVA,"",31/07/2015,tipo 1
28917,2703007,QUITERIA MARIA DA SILVA,"",10/05/2001,tipo 1
28949,2703106,ANA LUCIA DOS SANTOS PEREIRA,"",22/01/1992,tipo 1
28966,2703106,CRISTINA DE OLIVEIRA SANTOS SILVA,"",18/04/1942,tipo 1
28982,2703106,ELANIA MARIA DE LYRA,"",28/10/2011,tipo 1
28986,2703106,EMILIA DOS SANTOS SILVA,"",02/10/1955,tipo 1
29003,2703106,GERLANE RITA DOS SANTOS,"",04/01/1956,tipo 1
29006,2703106,GILDA GOMES DOS SANTOS NASCIMENTO,"",31/10/1925,tipo 1
29020,2703106,JACIELE FERREIRA DA SILVA,"",13/12/1957,tipo 1
29021,2703106,JACIELMA TAVARES DA SILVA,"",24/09/1956,tipo 1
29043,2703106,JOSE CLAUDEMIR DE LIMA,"",27/09/1947,tipo 1
29075,2703106,LUANYR BARBOSA DA SILVA,"",09/02/1939,tipo 1
29084,2703106,LUCINEIDE VITOR DA SILVA,"",11/08/1962,tipo 1
29097,2703106,MARIA DO SOCORRO DA CONCEICAO SILVA SANT,"",02/07/1972,tipo 1
29105,2703106,MARIA LUCIA BARBOSA DA SILVA,"",09/07/1989,tipo 1
29119,2703106,PATRICIA APRIGIO DA SILVA,"",12/01/1938,tipo 1
29207,2703205,EDIVANIA SILVA SANTOS,"",22/02/2021,tipo 1
29265,2703205,LUCIKELLY DOS SANTOS,"",15/01/1966,tipo 1
29313,2703205,ROSEMEIRE BEZERRA DOS SANTOS,"",05/01/1927,tipo 1
29327,2703205,THIAGO PEREIRA CAETANO,"",13/03/1933,tipo 1
29347,2703304,ANA CLEIA LISBOA BEZERRA,"",18/08/1943,tipo 1
29464,2703304,MARIA LEIDE FERREIRA,"",22/10/1962,tipo 1
29498,2703304,PAULINA BARROS DA SILVA,"",30/08/1942,tipo 1
29517,2703304,TAWANE ALEXANDRE DA SILVA,"",10/07/1926,tipo 1
29541,2703403,DIMAS CORDEIRO GALANTE,"",09/09/2000,tipo 1
29572,2703403,MELANIA DA SILVA,"",16/05/1967,tipo 1
29578,2703403,ROSIENE DE ARAUJO,"",28/12/1961,tipo 1
29605,2703502,IVANILDO DOMINGOS ALVES,"",05/05/1940,tipo 1
29625,2703502,MANOEL VITALINO LOPES ALVES,"",24/03/1966,tipo 1
29660,2703601,ANA PAULA FERREIRA LINS,"",10/05/1973,tipo 1
29753,2703601,MARIA JOSE DOS SANTOS,"",09/07/1944,tipo 1
29777,2703601,SANDRA MARIA DA SILVA,"",11/02/1992,tipo 1
29809,2703700,GENILDA DA SILVA SANTOS,"",12/02/1977,tipo 1
29833,2703700,QUITERIA VITORINO DOS SANTOS SILVA,"",05/02/1937,tipo 1
29872,2703759,EDILEUZA LUIZ DOS SANTOS,"",09/09/1944,tipo 1
29888,2703759,EVILAZARA DUARTE DOS SANTOS,"",08/12/1989,tipo 1
29936,2703759,LEONARDO FELIX DA SILVA,"",18/05/1960,tipo 1
