ID,COD_MUNICIPIO,NOME,NOME_RESPONSAVEL,data_nasc,Tipo_erro
7204,2915403,NILSETE DAMACENA ALVES,GISELE DA SILVA JESUS,10/09/1952,tipo 5
7205,2915502,DOMINGOS CRUZ SANTANA,LUCINEIA FRANCISCO,27/02/1925,tipo 5
7218,2916500,SIMONE MARIA DOS SANTOS,FRANCISCO BENICIO DA GAMA,23/06/2003,tipo 5
7264,2919207,VALDIR CAMPOS DE SOUZA,MARIA DELANDE DE OLIVEIRA,02/10/1992,tipo 5
7272,2920205,EDVAR AMARO SANTANA,CLAUDENISIO FERNANDES MORAIS,27/01/2022,tipo 5
7293,2922508,IRENIO NASCIMENTO DOS SANTOS,ANA PAULA SILVEIRA DE SOUZA,03/04/1945,tipo 5
7305,2925006,PATRICIA SANTOS DE OLIVEIRA,COSMO AMADOR DE SOUZA,11/04/2005,tipo 5
7316,2925600,BELARMINO PEREIRA ALECRIM NETO,FRANCISCA JOSIELMAR DA SILVA SANTOS,07/06/1968,tipo 5
7344,2927507,MARLENE LIMA DA CUNHA,LUCAS DE SOUSA,19/12/1997,tipo 5
7352,1600600,EDILSON DA SILVA SOUZA,MARIA DE FATIMA DA SILVA TEMOTEO,03/04/1958,tipo 5
7384,2931004,JOAO JESUS BRITO,ROSANGELA DA SILVA,24/11/1984,tipo 5
7386,2931004,PEDRO HENRIQUE SILVA SANTOS,ROZE DA SILVA PRUDENCIO,23/11/1959,tipo 5
7392,2516508,RENILDO DE JESUS DOS SANTOS,VANESSA DE SOUZA ALMEIDA,27/08/1935,tipo 5
7405,2932903,GILSON NASCIMENTO DE JESUS,RONIVON ALVES DA SILVA,12/04/1945,tipo 5
7419,2933307,ARLENE NASCIMENTO DE OLIVEIRA,JOSE DA SILVA PAIVA,27/10/1945,tipo 5
7449,2302404,ANA ROSA DE ARAUJO ALVES,JESSE CORDEIRO DE VASCONCELOS FILHO,26/08/1951,tipo 5
7450,2302404,DEBORA RODRIGUES FREITAS,JOSE RIBAMAR FERNANDES BERNANDO,24/06/2005,tipo 5
7459,2302909,KARLUELTER ARAUJO QUEIROZ,BENEVALDO DA SILVA BATISTA,09/12/1930,tipo 5
7462,2303501,FRANCISCO ALCEU MACIEL DE LIMA,MARIA DO SOCORRO CARNEIRO DE SOUZA,01/11/1965,tipo 5
7476,2303709,JOELMA VIANA DA SILVA,CRISTIANE MADEIRO DE ALMEIDA,09/10/2021,tipo 5
7482,2304004,ANTONIA NETA DA SILVA,LOUISE ANA BARROSO BRAGA,22/12/2012,tipo 5
7487,2304202,FRANCISCA DA PENHA DE MORAIS GOMES FECHI,ANTONIO HELIEZIO TOMAZ,20/08/1996,tipo 5
7490,2304202,JOSE MARCELO RIBEIRO LOBO,FRANCISCA KELY DE SOUSA HERCULANO,29/12/1991,tipo 5
7497,2304400,ADRIANO LIMA CRUZ,LUCIA DE FATIMA SILVA GOMES,13/04/1959,tipo 5
7509,2304400,ANTONIA SANDRA DA SILVA PAULINO,CLEIANE NASCIMENTO DOS SANTOS SILVA,13/09/1944,tipo 5
7510,2304400,ANTONIO DE SOUSA GOMES,DELZA MARTINS DA CONCEICAO,23/03/1941,tipo 5
7528,2304400,FRANCISCO DE ASSIS TEMOTEO,MARIA APARECIDA MOREIRA,22/05/1964,tipo 5
7532,2304400,GERMANO PEREIRA SILVA,VANUSA COSTA DO ROSARIO,14/06/1999,tipo 5
7551,2304400,LINDEILSON SOUSA MACEDO,AURELINA RUFINO DA SILVA,04/06/1989,tipo 5
7552,2304400,LUCIANA FERREIRA LIMA,ELAINE SANTANA LIMA,27/05/1958,tipo 5
7556,2304400,MARIA APARECIDA DE JESUS,LUCELIA DO NASCIMENTO,23/11/2009,tipo 5
7557,2304400,MARIA APARECIDA DE MORAIS COLARES,MARIA APARECIDA DA SILVA,20/05/1955,tipo 5
7561,2304400,MARIA DJANE MARTINS CHAGAS,VIVIANE DOS SANTOS,28/07/1951,tipo 5
7565,2304400,MARIA MADALENA DE OLIVEIRA,JONAS DA COSTA MINEIRO,05/01/1958,tipo 5
7566,2304400,MARIA MARLENE VIEIRA,MARIA APARECIDA DE SOUSA SILVA,21/09/2018,tipo 5
7576,2304400,RENATA ANDRE MARIANO,VILMA APARECIDA DA SILVA MORAIS,22/09/1957,tipo 5
7588,2304400,VILMA LUCIA REIS DA SILVA CARNEIRO,NEI GOMES DA SILVA,15/02/1947,tipo 5
7605,2305902,ZILDA POSSIDONIO DA SILVA,MARIA ANTONIA SENA DO NASCIMENTO,10/06/1979,tipo 5
7614,2306405,FRANCISCA ADRIANA ARAUJO GOMES,ANDREIA BATISTA AMORIM TORRES,18/06/1978,tipo 5
7615,2306405,FRANCISCA SINOVANIA DOS SANTOS TEIXEIRA,IRENI GONCALVES VASCONCELOS,14/11/1957,tipo 5
7616,2306405,FRANCISCO GAYNETE BEZERRA DE SOUSA,LUCILENE DE AMORIM FERNANDES,26/10/2011,tipo 5
7618,2306405,JOAO SERGIO DE SOUSA JUNIOR,PAULO SERGIO ANDRADE,11/09/1984,tipo 5
7630,2307700,ANTONIA KAROLINE DE ANDRADE SOARES,LUIZA TAVARES CAVALCANTE,03/11/2015,tipo 5
7634,2308005,ANTONIO FRANCISCO RODRIGUES BRANDAO,MARCIEL ALVES SILVA,04/07/1937,tipo 5
7636,2308302,FRANCISCO CICERO DAVID DE LIMA,TIAGO ALVES PEREIRA SOUSA,10/08/2022,tipo 5
7672,2311405,FRANCISCO CLAUDIO CAETANO DE CASTRO,JODSON TEIXEIRA SILVA,26/08/1975,tipo 5
7687,2313500,FRANCISCO OLIVEIRA MOTA,JOSE RIBAMAR NUNES,03/07/2012,tipo 5
7689,2313559,GIRLANDIA UCHOA SANTOS,DULCINEIA DA CONCEICAO SILVA DOS SANTOS,29/08/1965,tipo 5
7706,5300108,JACKELINE ALVES FERREIRA,ROSECLEY SOARES COSTA,07/06/1990,tipo 5
7739,3203304,VANUZA MAURICIO NASCIMENTO,AMACRER CARDOSO MIRANCA,31/01/1995,tipo 5
7750,3205002,KATIA DA SILVA SAMPAIO,JOAO GILIO PEREIRA DA SILVA,09/06/1941,tipo 5
7756,3205309,JHOSSENY JEANNY BORJA,MARIA DE RIBAMAR SOUSA SANTOS,29/11/2018,tipo 5
7789,5214507,DIONE ALVES DA SILVA,MANOEL DE JESUS INACIO DA SILVA,08/09/2014,tipo 5
7790,5214705,APARECIDA PENHA DE DEUS FERREIRA,ELENILSON DE JESUS ROCHA,22/06/1974,tipo 5
7821,2101608,JESSIARA DA SILVA DE ALMEIDA,ANTONIA ALVES VANDERLEI,05/02/1926,tipo 5
7824,2101608,RAYANA LUZ QUEIROZ,ANA PEIXOTO BARBOSA,31/12/1983,tipo 5
7831,2102903,RALIANE JAMILLY SOUZA DOS ANJOS,MARIA APARECIDA RODRIGUES,25/04/2012,tipo 5
7833,2103109,CREUSENILCE RABELO,IRANI MARIA DA CONCEICAO,28/12/1931,tipo 5
7836,2103208,ANTONIO JOSE DOS SANTOS,SILVIA SOARES SANTOS,22/08/1985,tipo 5
7840,2103208,RONALDO CONCEICAO DOS SANTOS,ANALITA NOGUEIRA NERES,28/11/1931,tipo 5
7858,2105351,ANTONIA JACIARA SILVA PASSOS,LUANA DOS SANTOS CAMPOS,03/10/2012,tipo 5
7861,2105351,ROGERIO VIEIRA PEREIRA,MADALENA ROBERTO DA SILVA,03/10/1935,tipo 5
7864,2105427,ALEXSANDRA DA SILVA LIMA,MARCELO GONCALVES DOS REIS,25/03/2017,tipo 5
