ID,COD_MUNICIPIO,NOME,NOME_RESPONSAVEL,data_nasc,Tipo_erro
5148,3123700,M.,GERALDO EVANGELISTA GONCALVES FLORES,01/02/1974,tipo 2
5183,3143302,P.,BENEDITA CANTUARIA ARRUDA,08/07/1941,tipo 2
5317,2700805,C.,FRANCISCO BERNADINO NETO,30/10/2007,tipo 2
5324,2501906,J.,LEONARDO ANTONIO VARELA,12/07/2020,tipo 2
5448,2506103,J.,FABIO JULIO DA SILVA,18/04/2012,tipo 2
5481,2511707,M.,JOSE MARIO DA SILVA,28/11/1948,tipo 2
5505,2600500,J.,JOYCE DOS SANTOS RODRIGUES,02/06/2015,tipo 2
5583,2604205,S.,CINTHIA MARIA DA SILVA,15/11/1968,tipo 2
5618,3127388,P.,MARIA DOS SANTOS AREA LEAO,29/03/1970,tipo 2
5621,2606408,G.,LEANDRO BARBOSA DOS REIS,08/08/1952,tipo 2
5707,2611705,R.,JACIRA DA SILVA PEDROSO,06/06/1971,tipo 2
5799,2208205,J.,PAULO MATEUS DA SILVA,20/04/1930,tipo 2
5831,2211001,R.,JOSE EDUARDO DOMINGOS FREIRE,25/03/1940,tipo 2
5943,3141702,V.,SONIA FRANCISCA DA SILVA,27/04/1948,tipo 2
5976,3303500,I.,GIOVANI CANDIDO JUNIOR,15/02/2022,tipo 2
6078,3304557,L.,LARA LOUISE ESTEVAM DA SILVA,07/03/1978,tipo 2
6103,3304557,V.,MARCELINO SCHNEIDER BARBOSA,04/07/1943,tipo 2
6174,2405108,Y.,MONICA CARDOSO DOS SANTOS,23/11/1969,tipo 2
6206,2610400,B.,VALDEREZ SOUZA DE CARVALHO,11/11/1976,tipo 2
6429,3504909,K.,GORETE GERALDO PEREIRA,13/04/1968,tipo 2
6520,3518800,R.,JOAO MARIA CAETANO BORGES,24/02/1949,tipo 2
6561,3530607,C.,MARIA DE LOURDES DA SILVA,22/01/2006,tipo 2
6647,3548708,I.,MARIA MADALENA PINTO,18/04/1962,tipo 2
6730,3550308,F.,SOLANGE RODRIGUES SOUZA NUNES,10/01/2009,tipo 2
6893,2700409,J.,ALTAIR SILVA COSTA PINHO,06/08/2001,tipo 2
6963,2706406,J.,MARIA REGINA DA CONCEICAO BARROS,27/07/1965,tipo 2
7047,2901700,A.,MARIA DE JESUS CARVALHO,22/05/1963,tipo 2
7101,2906501,R.,BRAZ DE JESUS,23/09/1988,tipo 2
7107,2906808,J.,VALDEMAR DE JESUS ALMEIDA,25/06/1977,tipo 2
7135,2908507,J.,GERLIANY MARIA DE SOUZA FEITOSA,28/01/1968,tipo 2
